title,addr1,mapx,mapy,eventstartdate,eventenddate,nature,urban,healing,activity,traditional,new,spectating,experience,popular,hidden,quiet,lively
거제도 국제펭귄수영축제,경상남도 거제시 덕포5길 32,128.7107009,34.9116688,20250111,20250111,0.249714779,0.077815445,0.108419207,0.066818639,0.120321929,0.056847808,0.085258357,0.084901481,0.096646845,0.078920399,0.142402526,1
겨울공주 군밤축제,충청남도 공주시 금벽로 368 (신관동),127.1275545,36.47029179,20250116,20250120,0.244077481,0.126851217,0.05787665,0.062133166,0.146340913,0.114732385,0.088052152,0.069605871,0.148204699,0.080791957,0.068350271,1
겨울엔 양평,경기도 양평군 양평읍 마유산로 11,127.4857713,37.49677987,20241201,20250131,0.249779929,0.065784946,0.104118625,0.120073742,0.111363063,0.076922173,0.074197348,0.109872782,0.098172786,0.053845891,0.142605554,0.387222222
경남고성공룡세계엑스포,경상남도 고성군 당항만로 1116,128.3915389,35.05334718,20251001,20251109,0.227489589,0.114529329,0.054306853,0.081923627,0.099234988,0.086133362,0.090584543,0.057835447,0.869970057,0.055421361,0.126167925,0.353451914
경복궁 별빛야행,서울특별시 종로구 사직로 161 (세종로),126.9767376,37.57608366,20250402,20250517,0.211395943,0.119392589,0.119134967,0.0671335,0.076588613,0.105558966,0.127194787,0.1222874,0.131820334,0.115350761,0.14352815,0.305251764
경복궁 생과방,서울특별시 종로구 사직로 161 (세종로),126.9767376,37.57608366,20250416,20250623,0.243350859,0.054307276,0.120214802,0.105412909,0.139488794,0.067871708,0.146903305,0.06988947,0.113832709,0.095953455,0.116393076,0.384494944
경주 대릉원돌담길 축제,경상북도 경주시 황남동,129.2133231,35.840196,20250404,20250406,0.203720597,0.056443044,0.104536783,0.097066008,0.101170499,0.079282568,0.114132951,0.135374206,0.067194367,0.106222821,0.109313615,1
계양 빛축제,인천광역시 계양구 경명대로 지하1089 (계산동),126.7279723,37.54334692,20240923,20250228,0.268742046,0.105154776,0.090714802,0.108407127,0.133654668,0.07407626,0.124913801,0.119366138,0.12833444,0.099743574,0.133259659,1
고니골빛축제,강원특별자치도 원주시 호저면 호저로 1277-43,127.9154662,37.48002308,20241123,20250202,0.225870232,0.068741243,0.118488915,0.079022475,0.066462674,0.090893828,0.08173993,0.090288876,0.089642836,0.106450465,0.088841022,1
고령대가야축제,경상북도 고령군 대가야로 1216 대가야역사테마관광지,128.2599602,35.72125291,20250328,20250330,0.230186256,0.128260006,0.051608552,0.14843774,0.077730545,0.146855511,0.077835481,0.117717435,0.118596708,0.08656137,0.130063629,1
고싸움놀이축제,광주광역시 남구 고싸움로 2,126.8371306,35.06962946,20250207,20250209,0.222144511,0.080654208,0.140464788,0.098840678,0.052697137,0.110339286,0.119506323,0.082056141,0.050678427,0.112786735,0.149706808,1
고양국제꽃박람회,경기도 고양시 일산동구 호수로 595,126.7686849,37.65397366,20250425,20250511,0.250802071,0.074368663,0.083040003,0.063847964,0.081661386,0.119482794,0.053845791,0.075434894,0.128438127,0.06936775,0.053201217,0.306616899
고창 벚꽃축제,전북특별자치도 고창군 고창읍 석정2로 171,126.7398829,35.43159521,20250404,20250406,0.223586727,0.075419872,0.09872372,0.118439413,0.061106848,0.085208085,0.082495206,0.141885403,0.096642046,0.069835895,0.112920116,1
고창청농원 라벤더 축제,전북특별자치도 고창군 공음면 청천길 41-27,126.5351164,35.37341781,20250516,20250629,0.259448518,0.105319595,0.059421561,0.08547401,0.051863571,0.054873649,0.122225716,0.142112327,0.144856967,0.111510415,0.143686695,1
고창청보리밭 축제,전북특별자치도 고창군 공음면 학원농장길 150,126.5432907,35.37541772,20250419,20250511,0.21715807,0.071002075,0.094903496,0.100516325,0.094833596,0.071400057,0.110046606,0.08659166,0.101582709,0.116727373,0.099077308,1
고흥우주항공축제,전라남도 고흥군 봉래면 하반로 490,127.5182611,34.45403509,20250503,20250506,0.242671344,0.127662927,0.06835503,0.119984257,0.071073899,0.079895853,0.065384962,0.119775036,0.054176617,0.134340637,0.089197925,1
곡성세계장미축제,전라남도 곡성군 오곡면 기차마을로 232,127.3080309,35.2774168,20250516,20250525,0.223375982,0.110693289,0.068479411,0.146795116,0.128133933,0.105706119,0.085741632,0.138491835,0.873278784,0.132076609,0.083855252,1
골체오름 벚꽃축제,제주특별자치도 제주시 조천읍 선흘리,126.7043086,33.44968322,20250329,20250330,0.274051292,0.055056586,0.103192924,0.069190501,0.122350662,0.125511847,0.074450738,0.124255499,0.143247633,0.128457106,0.121679372,1
공주 석장리 구석기축제,충청남도 공주시 금벽로 990,127.1875831,36.44794541,20250503,20250506,0.267505524,0.087164323,0.11951995,0.065114362,0.137313757,0.06376268,0.063161345,0.115057633,0.063042883,0.124774248,0.057420008,1
공주 페스티벌,충청남도 공주시 봉황로 75 (반죽동),127.1212611,36.45285201,20250503,20251206,0.297883801,0.094087983,0.083865264,0.148381433,0.061757223,0.068008305,0.133459936,0.057499388,0.10775836,0.127499266,0.132221626,1
관악별빛산책,서울특별시 관악구 신림동 1642-7,126.9276197,37.48278251,20241111,20250209,1,0.116773046,0.146957246,0.141589495,0.121873844,0.140155889,0.08404839,0.122068759,0.092042536,0.12208172,0.121077649,0.320348742
광무대 목요풍류,서울특별시 종로구 종로 272 (종로6가),127.0081071,37.57087094,20250403,20251225,0.254248243,0.077204286,0.145046055,0.110051703,0.069617617,0.080936133,0.069676224,0.075685823,0.139138964,0.083523715,0.117495795,0.364725187
광안리 M(Marvelous) 드론 라이트쇼,부산광역시 수영구 광안해변로 219,129.1185506,35.15382695,20220402,20251231,0.235269758,0.05613995,0.12219896,0.080442386,0.136042393,0.076598983,0.109141384,0.06181262,0.116442815,0.10480645,0.119854905,0.345934066
광안리어방축제,부산광역시 수영구 광안해변로 219 (광안동),129.1185478,35.15381306,20250509,20250511,0.23567041,0.130311766,0.101420073,0.11295062,0.104532517,0.102300122,0.127718937,0.056847306,0.078882491,0.088239108,0.074118437,1
광양 매화축제,전라남도 광양시 다압면 지막1길 55,127.7164724,35.07580494,20250307,20250316,0.270166547,0.061909717,0.140351117,0.114099156,0.05222809,0.114426568,0.135749577,0.087583727,0.109183154,0.114672144,0.069714502,1
광주 버스킹 월드컵,광주광역시 동구 금남로1가 41 금남지하상가,126.9200352,35.14787758,20251015,20251019,0.244849646,0.106861372,0.103663606,0.118795751,0.133732913,0.059043312,0.118325814,0.080368969,0.81390672,0.092895338,0.069385288,0.357517952
광주 추억의 충장축제,광주광역시 동구 금남로1가,126.9191658,35.14784979,20251015,20251019,0.24955882,0.102603237,0.052691541,0.091168279,0.137375885,0.07636144,0.110196433,0.12348964,0.079886793,0.125136969,0.124713725,1
광주국가유산야행,광주광역시 동구 문화전당로 38 (광산동),126.9192936,35.1460861,20250425,20250426,1,0.135580365,0.082036127,0.138859094,0.122452766,0.136483082,0.129662677,0.089759005,0.069729225,0.129997928,0.146357915,0.347772657
광주시 남한산성문화제,경기도 광주시 남한산성면 남한산성로 731,127.1885045,37.47677123,20250919,20250921,1,0.051736244,0.056832362,0.123658036,0.079302961,0.081089036,0.136622903,0.081467554,0.131763812,0.127810336,0.068953361,0.352352824
광주왕실도자페스티벌,경기도 광주시 곤지암읍 경충대로 727,127.3276231,37.35260758,20250425,20250506,0.266923981,0.057725713,0.148794565,0.087100316,0.066667073,0.123953342,0.097018011,0.105029774,0.137280862,0.122680979,0.052278979,1
광주티앤카페쇼,광주광역시 서구 상무누리로 30 (치평동),126.8405589,35.14671526,20250529,20250601,0.252089912,0.086672401,0.142503503,0.113053583,0.145034607,0.096137503,0.144741019,0.106478117,0.095008247,0.116825412,0.07220179,0.388883147
광화문 마켓,서울특별시 종로구 세종대로 175 (세종로),126.9763211,37.5720619,20241213,20250105,0.203552905,0.811912079,0.145978782,0.105752412,0.069427464,0.114886856,0.100397484,0.148452565,0.100830834,0.093807503,0.060508822,0.388171092
괴산빨간맛페스티벌,충청북도 괴산군 괴산읍 임꺽정로 92,127.7865442,36.81456409,20250523,20250525,1,0.051737269,0.094557358,0.134388287,0.147840575,0.064208223,0.947988316,0.090889027,0.127318867,0.112398374,0.120139932,1
구례300리 벚꽃축제,전라남도 구례군 구례읍 서시천로 84-11,127.4665991,35.21544042,20250328,20250330,0.244455232,0.079854355,0.083239718,0.09754618,0.051806856,0.093605315,0.061218403,0.064770844,0.05202523,0.135480571,0.087343395,1
구례산수유꽃축제,전라남도 구례군 산동면 상관1길 45,127.4703072,35.31965095,20250315,20250323,1,0.063170348,0.05757085,0.148593588,0.076581849,0.136871041,0.137058595,0.085612103,0.134534237,0.135381107,0.067808561,1
구름이 걷히니 달이 비치고 바람 부니 별이 빛난다,서울특별시 중구 을지로 281 (을지로7가),127.009571,37.56610763,20240815,20250430,0.276936585,0.069646028,0.057133181,0.082348313,0.104274677,0.057121605,0.139015324,0.135061282,0.135608957,0.129083452,0.063100537,0.312587046
"구미 청춘, 금오천 벚꽃 페스티벌",경상북도 구미시 산책길 105 (남통동),128.3248462,36.12291409,20250402,20250406,0.261350088,0.143559215,0.070111445,0.135797827,0.060295766,0.066200376,0.089894733,0.125489262,0.061682936,0.111659586,0.100413164,1
구팔일 댕댕이 대잔치!,제주특별자치도 제주시 애월읍 천덕로 880-24,126.3673892,33.39090381,20250301,20251231,0.244757954,0.10670033,0.085138708,0.100027258,0.058856849,0.082931121,0.072564255,0.073723602,0.112886009,0.077808519,0.128279234,0.391729569
국가유산 미디어아트,전북특별자치도 군산시 해망로 244-7 (장미동),126.7113961,35.99119217,20250808,20251116,1,0.122482668,0.101036661,0.111303395,0.088071889,0.111038248,0.123655426,0.114556359,0.076654561,0.103879009,0.148786396,0.324234029
국립생태원 CCPP 기후환경 사진 프로젝트 ‘Confession to the Earth’,충청남도 서천군 마서면 금강로 1210,126.7194584,36.02713542,20241105,20250202,0.269386032,0.05638612,0.058840586,0.056809901,0.111332152,0.11662361,0.071821806,0.120748986,0.08201421,0.09325456,0.051291389,0.369076372
국토정중앙 달맞이축제,강원특별자치도 양구군 양구읍 박수근로 366-33,127.981486,38.10644602,20250212,20250212,0.252450375,0.106181348,0.117171071,0.062183522,0.075450342,0.066487604,0.119574218,0.091888952,0.084034345,0.101369799,0.067185068,1
국회동심한마당,서울특별시 영등포구 의사당대로 1,126.9141334,37.5320321,20250531,20250531,0.243365863,0.062429505,0.063565677,0.058775315,0.079538387,0.139748487,0.078712661,0.109657858,0.127137621,0.084409987,0.11529663,0.359223587
군산시간여행축제,전북특별자치도 군산시 중앙로1가,126.7117073,35.987787,20251009,20251012,1,0.070150239,0.141035773,0.083198173,0.079857175,0.131412056,0.058044166,0.068421598,0.104685066,0.146573505,0.057453017,1
군위 사랑과 나눔 문화축전,대구광역시 군위군 군위읍 군위금성로 307-14,128.6030406,36.23474819,20250510,20250510,0.285431611,0.11927155,0.076372964,0.107741868,0.124952373,0.07715169,0.113405276,0.119212579,0.146266322,0.147197423,0.063018047,0.397948653
군포 철쭉축제,경기도 군포시 고산로 470 (산본동),126.9266205,37.3565527,20250419,20250427,0.23647972,0.111706795,0.100855387,0.070460534,0.117309183,0.148448269,0.108614911,0.092020387,0.126725361,0.085291828,0.062133041,1
굿즈이즈굿V.2,서울특별시 강서구 마곡중앙로 143 (마곡동),126.8254072,37.56677926,20250306,20250309,0.209711583,0.058489033,0.090242215,0.147284019,0.083523043,0.106098243,0.105284528,0.112301581,0.085862858,0.146680587,0.137462897,0.385128839
궁중문화축전,서울특별시 종로구 사직로 161,126.976993,37.57882224,20250426,20250504,0.225914562,0.102387204,0.094109149,0.135933558,0.066348426,0.10232443,0.145544656,0.058996148,0.112115106,0.075841465,0.077191134,0.394493529
금남로 차 없는 거리 '걷자잉',광주광역시 동구 금남로 245 (금남로1가),126.9187464,35.14840528,20250308,20251231,0.240198567,0.105338874,0.077061069,0.066303012,0.114826792,0.090935998,0.139713418,0.071839921,0.063907684,0.100613257,0.116890169,0.368068619
금빛서동 - 누가 무왕이 될 것인가,전북특별자치도 익산시 금마면 고도9길 41-14,127.0609147,36.00064155,20250504,20250506,0.257759799,0.112654213,0.096622694,0.144988495,0.107022791,0.09444366,0.11656942,0.066944649,0.0866866,0.102021902,0.064834669,0.379049916
금산 보곡산골 산벚꽃 축제,충청남도 금산군 군북면 자진뱅이길 39,127.5667171,36.19436169,20250412,20250420,1,0.072097028,0.127668706,0.11919797,0.102428257,0.08529113,0.096407729,0.149038664,0.148510372,0.05367971,0.142002519,1
금산세계인삼축제,충청남도 금산군 금산읍 인삼광장로 30,127.5005395,36.10019903,20250919,20250928,1,0.119520397,0.09640011,0.149857377,0.098272048,0.107320341,0.055386446,0.144424422,0.882996504,0.063201749,0.094995042,1
금천하모니축제,서울특별시 금천구 시흥대로73길 70 (시흥동),126.8955206,37.45649332,20250531,20250601,0.248632457,0.08775487,0.120462086,0.122290875,0.106066441,0.093874076,0.098825385,0.113597471,0.086868918,0.129031523,0.051192671,1
기지시줄다리기 축제,충청남도 당진시 송악읍 안틀모시길 11,126.6947487,36.89621575,20250410,20250413,0.209074948,0.067585855,0.094470742,0.050473621,0.133632948,0.090912825,0.144125036,0.121625727,0.090432178,0.139494505,0.068418659,1
김제 꽃빛드리 축제,전북특별자치도 김제시 도작로 220 (검산동),126.8999145,35.81302127,20250404,20250406,0.211867948,0.129284361,0.133183544,0.118022416,0.144355487,0.086536401,0.065437406,0.051384709,0.070711922,0.071178527,0.146486675,1
김제 모악산 뮤직페스티벌,전북특별자치도 김제시 금산면 금산리,127.047687,35.72051766,20250426,20250427,1,0.074689553,0.140033423,0.078355385,0.05785189,0.134622109,0.082172238,0.130255662,0.08661127,0.064142427,0.088035058,1
김제지평선축제,전북특별자치도 김제시 벽골제로 442,126.8522869,35.75406327,20251008,20251012,0.280068688,0.078240744,0.135850109,0.105087264,0.100409147,0.054851752,0.06746424,0.144922703,0.050268115,0.146699281,0.130477476,1
김포 라베니체축제,경기도 김포시 초당로 54 (장기동),126.6755687,37.64371764,20251011,20251011,0.257321861,0.109379568,0.115946838,0.087509449,0.130547355,0.081074513,0.109784479,0.066604467,0.110822108,0.117072135,0.052216329,1
김포 벚꽃축제,경기도 김포시 북변동,126.7181764,37.62545386,20250412,20250412,0.259011242,0.065678009,0.062625779,0.095411047,0.08114648,0.13651657,0.139986154,0.119109319,0.14144128,0.108256124,0.137915064,1
김포 해병대 문화축제,경기도 김포시 대곶면 대명항1로 110-36,126.5394646,37.64006844,20251101,20251101,0.23591159,0.080365911,0.084970724,0.089303757,0.065424591,0.071829943,0.140227704,0.114755801,0.080452369,0.05046111,0.13808303,1
김포아라마린페스티벌,경기도 김포시 고촌읍 아라육로270번길 74,126.7869848,37.59770831,20250531,20250601,0.251327311,0.052614802,0.142711269,0.09704721,0.143609718,0.108850269,0.128441407,0.068193743,0.058874803,0.147595707,0.132462326,1
김해분청도자기 축제,경상남도 김해시 진례면 분청로 17,128.7459054,35.25176745,20251104,20251109,0.262125758,0.125400353,0.146040018,0.135120813,0.093230736,0.07238487,0.068334335,0.101382308,0.054868221,0.141575506,0.095992507,1
김해한우축제,경상남도 김해시 장유로 551 (신문동),128.8288111,35.18328776,20250522,20250525,0.241905857,0.148340808,0.123143242,0.085073669,0.106870566,0.063898508,0.127263132,0.098535915,0.130920122,0.132412402,0.051023427,1
남동 빛의 거리,인천광역시 남동구 만수동,126.7360189,37.441595,20241022,20251231,0.255322642,0.111387937,0.059791212,0.106926983,0.054478949,0.101525469,0.067223364,0.110810778,0.132215019,0.147604827,0.107398737,0.382994231
남원국제드론제전 with 로봇,전북특별자치도 남원시 충정로 341 (월락동),127.4048574,35.42859028,20251016,20251019,0.207517289,0.098784543,0.10726694,0.065226667,0.06435874,0.126428703,0.092274313,0.057774099,0.147820345,0.112981205,0.098034331,0.302147187
남이섬 벗(友)꽃놀자,강원특별자치도 춘천시 남산면 남이섬길 1,127.525509,37.79632082,20250405,20250420,1,0.091026054,0.105017264,0.090230581,0.073171714,0.114296145,0.138656831,0.112696724,0.06995972,0.128155035,0.147090267,0.301300516
남이섬 어쿠스틱 청춘 페스티벌,강원특별자치도 춘천시 남산면 남이섬길 1,127.5261036,37.790116,20250606,20250615,1,0.076047512,0.057975038,0.080657365,0.085215827,0.084039944,0.119755462,0.116452086,0.066728945,0.123562544,0.08608229,1
남이섬세계책나라축제,강원특별자치도 춘천시 남산면 남이섬길 1,127.5261036,37.790116,20250503,20250518,1,0.077272532,0.118583297,0.097607061,0.092265701,0.097442118,0.121117587,0.094667581,0.862946896,0.055371117,0.106042537,1
낭만등불축제,경기도 남양주시 불암산로59번길 48-31 (별내동),127.1015407,37.65121051,20250301,20260331,0.259566587,0.109299556,0.123362019,0.087347755,0.120850137,0.102593719,0.09682637,0.076654285,0.098822633,0.087147376,0.121239773,1
네이처파크 미라클 크리스마스,대구광역시 달성군 가창면 가창로 891,128.6353392,35.78816054,20241123,20250105,0.28252604,0.114468193,0.085507752,0.082800866,0.122833519,0.074938019,0.060968921,0.052253394,0.112032447,0.087020001,0.050146086,0.342886466
네이처파크 플라워페스티벌,대구광역시 달성군 가창면 가창로 891,128.6353392,35.78816054,20250322,20250608,0.219613595,0.127793633,0.060913943,0.093714438,0.082073676,0.073669211,0.069496542,0.073965142,0.101518477,0.117542868,0.081712862,1
논산딸기축제,충청남도 논산시 관촉동,127.1056055,36.19549509,20250327,20250330,1,0.078341384,0.055620463,0.072373473,0.142083872,0.0950065,0.087730429,0.100788004,0.137927783,0.121110835,0.101415127,1
다리안 온(溫) 축제,충청북도 단양군 단양읍 소백산등산길 12,128.4208914,36.96492246,20250212,20250226,0.288005547,0.087884427,0.129145998,0.148637586,0.10313565,0.072232815,0.067500626,0.078561566,0.089684028,0.094030642,0.139403097,1
단종문화제,강원특별자치도 영월군 영월읍 하송리,128.4687003,37.17810719,20250425,20250427,0.244866858,0.143863421,0.064995731,0.122823488,0.120510006,0.071968298,0.084571216,0.059018248,0.06683967,0.096996952,0.133299508,0.321323912
담양대나무축제,전라남도 담양군 담양읍 죽녹원로 119,126.9863665,35.32501424,20250502,20250506,0.202654499,0.061808693,0.148336517,0.123275029,0.083680441,0.058030212,0.139770237,0.062174302,0.101594578,0.05530354,0.060978554,1
대관령눈꽃축제,강원특별자치도 평창군 대관령로 135-9,128.7110498,37.67260201,20250124,20250202,0.201256406,0.05190903,0.081671087,0.050116616,0.144621891,0.145416647,0.071410152,0.138608817,0.09009597,0.083254421,0.141404292,1
대구데이 페스티벌,대구광역시 수성구 두산동,128.6184868,35.82941945,20250620,20250621,0.249672846,0.142850656,0.054456677,0.146248663,0.099138542,0.10144569,0.108430259,0.081609888,0.104842591,0.132127461,0.105124474,1
대구약령시한방문화축제,대구광역시 중구 남성로,128.5906382,35.86762572,20250508,20250511,0.218722347,0.076368079,0.065833466,0.105988334,0.132172572,0.122723295,0.069080724,0.062514979,0.051117294,0.098913065,0.115040945,1
대구치맥페스티벌,대구광역시 달서구 공원순환로 36,128.5587998,35.85089647,20250702,20250706,0.225343588,0.103515859,0.077881978,0.072184654,0.148272905,0.051434133,0.116933367,0.104055454,0.095098984,0.060631776,0.129697014,1
대덕물빛축제,대전광역시 대덕구 미호동,127.4741317,36.47316983,20250328,20250426,0.240263227,0.063154329,0.089254123,0.079891249,0.064853563,0.085940531,0.105383079,0.078764515,0.106999171,0.111609041,0.083128319,1
대전시립연정국악단 토요국악,대전광역시 서구 둔산대로 181 (만년동),127.3894005,36.3663861,20250308,20251122,0.26053134,0.071510301,0.094933458,0.091924389,0.079688428,0.066376008,0.10542335,0.148008284,0.149480717,0.131750656,0.088455278,0.379879639
대전한우숯불구이축제,대전광역시 유성구 월드컵대로 32 (노은동),127.326609,36.36387972,20250409,20250413,0.212782479,0.126731924,0.097651297,0.069416325,0.14853669,0.136473834,0.105965734,0.120896787,0.058783839,0.124657491,0.072821864,1
대전효문화뿌리축제,대전광역시 중구 뿌리공원로 47 효문화마을관리원,127.3845115,36.28538417,20250926,20250928,0.293464266,0.078618722,0.147900991,0.112208341,0.058332206,0.088945326,0.142728329,0.062403162,0.104027942,0.102913887,0.113651256,1
대청호 벚꽃 축제,대전광역시 동구 신상동,127.497955,36.35449217,20250328,20250406,0.233387835,0.05369087,0.129230029,0.086193975,0.102386057,0.086428039,0.147402907,0.06701861,0.103897723,0.056922692,0.078083001,1
대한민국 과학기술축제,대전광역시 서구 둔산대로 169 (만년동),127.387984,36.36592502,20250416,20250420,0.201501015,0.100675469,0.092935923,0.115646092,0.146052565,0.130639228,0.144335304,0.090981695,0.057841046,0.105389799,0.141445732,1
대한민국 독서대전 김포,경기도 김포시 초당로 40 (장기동),126.673855,37.64228444,20250919,20250921,0.290142035,0.052572644,0.111646721,0.137507379,0.105585023,0.073427494,0.050669082,0.071830403,0.080350541,0.098051547,0.058400433,0.371121674
덕수궁 밤의 석조전,서울특별시 중구 세종대로 99,126.9749297,37.56614867,20250408,20250525,0.245195857,0.09226564,0.094525824,0.065764978,0.07147439,0.11834773,0.129048804,0.087707529,0.14849636,0.141186595,0.078577921,0.369235448
도서관의 날 · 도서관주간,서울특별시 서초구 반포대로 201 (반포동),127.0045484,37.49768216,20250412,20250418,0.233579114,0.107499235,0.083631441,0.139809379,0.056554132,0.075119797,0.135175574,0.119641587,0.139311387,0.058808157,0.050658818,0.311650403
도시캠핑대전,대전광역시 유성구 대덕대로 480 (도룡동),127.3802705,36.37599317,20250530,20250608,0.200519389,0.887064122,0.102578307,0.866198652,0.052258504,0.050331892,0.143095526,0.146170793,0.057163069,0.061450623,0.123185965,0.330078459
동대문구 봄꽃축제,서울특별시 동대문구 장안동,127.0753566,37.56686428,20250405,20250406,0.288755616,0.123927614,0.094763861,0.114298104,0.051014131,0.078627019,0.068394842,0.107347239,0.088607212,0.058465051,0.061119138,1
동래읍성역사축제,부산광역시 동래구 문화로 80,129.0901348,35.21214211,20251024,20251026,0.224291651,0.073117626,0.124961352,0.079128246,0.060308243,0.147838276,0.117894647,0.128757769,0.059664747,0.113604955,0.072865881,1
드림파크 국화축제,인천광역시 서구 자원순환로 170 (백석동),126.648126,37.57314481,20251024,20251102,0.273614255,0.064315752,0.082023839,0.076729068,0.054269984,0.054186642,0.094089024,0.065691936,0.129760459,0.091777662,0.091512912,1
드림파크 벚꽃축제,인천광역시 서구 자원순환로 170 (백석동),126.648126,37.57314481,20250409,20250415,0.205797042,0.138137186,0.138030455,0.1316559,0.136587167,0.06682778,0.12144894,0.062049685,0.074738145,0.087769366,0.121063422,1
땅끝 해넘이해맞이축제,전라남도 해남군 송지면 땅끝마을길 42,126.5273793,34.29988304,20241231,20250101,0.285585081,0.13947834,0.14532112,0.143567572,0.076058152,0.068827304,0.092617168,0.114638137,0.075309083,0.123851537,0.055462573,1
라라라 페스티벌,부산광역시 금정구 장전온천천로 48 (장전동),129.0893371,35.22965402,20251024,20251026,0.273821426,0.057918852,0.13537735,0.078812854,0.097671313,0.074362333,0.066470349,0.10719542,0.145215774,0.112980317,0.102076206,1
렛츠런파크 서울 벚꽃축제,경기도 과천시 경마공원대로 107 (주암동),127.0086495,37.44412734,20250404,20250413,0.224804734,0.066440438,0.116258847,0.800484029,0.101794028,0.119808956,0.098536185,0.139783411,0.089557156,0.083059709,0.106947616,1
릴랙스위크,서울특별시 강남구 남부순환로 3104 SETEC,127.0707674,37.49608909,20250317,20250430,0.270214251,0.127323252,0.094443141,0.058226856,0.055029484,0.07681569,0.05416082,0.126724397,0.099826262,0.053779087,0.101159611,0.324942972
마노르블랑 동백꽃 감귤체험 축제,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,126.2949957,33.25485104,20241205,20250131,0.222728378,0.098906099,0.084053006,0.892501215,0.124386465,0.088294591,0.074299219,0.853369289,0.114719277,0.092140849,0.101014088,1
마노르블랑 루피너스 꽃향기축제,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,126.2949957,33.25485104,20250318,20250504,0.27889009,0.120516476,0.121737947,0.050789059,0.118978064,0.14868209,0.099317794,0.061157686,0.129609538,0.147360953,0.080565103,1
마토예술제,경기도 평택시 팽성읍 안정쇼핑로 11,127.044157,36.95966458,20250426,20250426,0.280186553,0.127441269,0.050830881,0.144353355,0.143071767,0.074107901,0.122384437,0.12502915,0.08044645,0.094529261,0.090518291,0.329929004
마포구 레드로드발전소 체험프로그램,서울특별시 마포구 와우산로37길 35 (동교동),126.9290369,37.55649897,20241220,20250208,0.2213972,0.135132218,0.106368703,0.823809893,0.072434592,0.11270652,0.131993736,0.856355784,0.059332697,0.111912889,0.113452497,0.315507643
